識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
184,繜,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
185,損,時,君,上上,,s,un,sun2,ㄙ,ㄨㄣ,ㄙㄨㄣ2,10,1,2
186,榫,時,君,上上,,s,un,sun2,ㄙ,ㄨㄣ,ㄙㄨㄣ2,10,1,2
187,筍,時,君,上上,,s,un,sun2,ㄙ,ㄨㄣ,ㄙㄨㄣ2,10,1,2
188,笋,時,君,上上,0.01 ,s,un,sun2,ㄙ,ㄨㄣ,ㄙㄨㄣ2,10,1,2
189,簨,時,君,上上,,s,un,sun2,ㄙ,ㄨㄣ,ㄙㄨㄣ2,10,1,2
190,允,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
191,𠃔,英,君,上上,0.01 ,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
192,狁,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
193,吮,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
194,隕,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
195,殞,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
196,傊,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
197,穩,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
198,賱,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
199,䪳,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
200,愪,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
201,磒,英,君,上上,,q,un,qun2,,ㄨㄣ,ㄨㄣ2,11,1,2
202,刎,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
203,吻,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
204,蚊,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
205,蚉,門,君,上上,0.01 ,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
206,瞞,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
207,伆,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
208,𦮶,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
209,脗,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
210,抆,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
211,㥃,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
