序,攝,韻,調,等,呼,韻母,台羅,擬音,切語下字
172,咸,添,平,四,開,添,iam,[-iem],兼 甜 玷 忝 簟 念 店
173,咸,覃,平,一,開,覃,am,[-ɒm],含 男 南 禫 感 唵 紺 暗
174,深,侵,入,三,開,緝,ip,[-ĭĕp],入 執 立 戢 汁
175,深,侵A,入,三,開,緝A,ip,[-ĭĕp],入
176,深,侵B,入,三,開,緝B,ip,[-ĭĕp],立 及 急 汲
177,咸,談,入,一,開,盍,ap,[-ɑp],臘 盍 榼 雜
178,咸,嚴,入,三,開,業,iap,[-ĭɐp],怯 業 劫
179,咸,凡,入,三,合,乏,uat/uap,[-ĭwɐp],法 乏
180,咸,銜,入,二,開,狎,ap,[-ap],甲 狎
181,咸,咸,入,二,開,洽,ap,,夾 洽 㘝
182,咸,鹽,入,三,開,葉,iap,[-ĭɐp],涉 葉 攝 輒 接
183,咸,鹽A,入,三,開,葉A,iap,[-ĭɐp],涉 葉
184,咸,鹽B,入,三,開,葉B,iap,[-ĭɐp],輒
185,咸,添,入,四,開,怗,iap,[-iep],協 頰 愜 牒
186,咸,覃,入,一,開,合,ap,[-ɒp],閤 沓 合 荅
