漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
20269,𩬜,亂髮,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20270,踘,踘蹋也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20271,閰,閑閰,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20272,𣐊,木名,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20273,𧿻,足也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20274,泦,水[名/文],3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20275,趜,困人又巨竹切,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20276,麴,麴[蘖/糵]又姓出西平漢有麴演驅匊切五,3204,麴,驅匊,khiok4,5.01屋,溪,kh,牙音,牙音,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20277,𥶶,上同說文曰酒母也,3204,麴,驅匊,khiok4,5.01屋,溪,kh,牙音,牙音,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20278,𩍔,上同,3204,麴,驅匊,khiok4,5.01屋,溪,kh,牙音,牙音,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20279,鞠,姓也又居六切,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20280,𠤄,曲脊又渠六切,3204,麴,驅匊,khiok4,5.01屋,溪,kh,牙音,牙音,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20281,熟,成也殊六切八,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20282,孰,誰也,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20283,淑,善也,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20284,塾,門側堂崔豹古今注云臣來朝君至門外更詳熟所應對之事塾之言熟也,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20285,𨷙,上同,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20286,璹,玉名,1944,受,殖酉,siu2,3.44有,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
20287,婌,後宫女官名,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20288,䃞,石聲,3205,熟,殊六,siok8,5.01屋,禪,s,齒音,正齒近齒頭,全濁,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20289,俶,始也厚也作也動也昌六切五,3206,俶,昌六,chiok4,5.01屋,昌,ch,齒音,正齒近舌上,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20290,柷,柷敔柷作樂也俗作拀又音祝,3206,俶,昌六,chiok4,5.01屋,昌,ch,齒音,正齒近舌上,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20291,琡,璋大八寸曰琡又音祝,3206,俶,昌六,chiok4,5.01屋,昌,ch,齒音,正齒近舌上,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20292,𣥹,至也,3206,俶,昌六,chiok4,5.01屋,昌,ch,齒音,正齒近舌上,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20293,埱,氣出於地一曰始也,3206,俶,昌六,chiok4,5.01屋,昌,ch,齒音,正齒近舌上,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
20294,育,養也長也余六切二十四,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20295,毓,稚也本亦同上,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20296,鬻,賣也亦作粥亦姓周有鬻熊爲文王師案說文鬻本音麋䭈也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20297,粥,上同,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20298,𩱱,說文鬻也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20299,䋭,靑經白緯[䋭/淯]陽所織,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20300,𧷗,賣也重也長也也動也說文衒也或作儥,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20301,儥,上同,3182,獨,徒谷,tok8,5.01屋,定,t,舌音,舌頭音,全濁,,東開1促聲,ok,通,東,屋,入,開,1,獨洪
20302,棛,車覆欄也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20303,錥,鎢錥温器,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20304,煜,火光又燿也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20305,焴,上同,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20306,昱,日光,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20307,蒮,爾雅云蒮山韭,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20308,淯,水名出攻離山,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20309,蜟,復蜟蟬未蛻者出論衡,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20310,𢌻,兩手捧物說文音匊,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20311,堉,地土肥也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20312,喅,音聲,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20313,𤳕,生田,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20314,𥉑,望也又目明皃,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20315,逳,步也轉也行也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20316,𦱀,草名,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20317,蘛,茂也,3207,育,余六,Øiok8,5.01屋,以,Ø,喉音,喉音,次濁,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20318,驧,馬跳躍也說文曰馬曲脊也渠竹切十二,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20319,𩣽,上同,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20320,趜,趜𧼭,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20321,䱡,魚名,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20322,鵴,鴶鵴鳲鳩又音菊,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20323,𪁁,上同,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20324,鞠,蹋鞠以革爲之今通謂之毬子又菊麴二音,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20325,毱,皮毛丸也,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20326,䗇,說文曰䗇鼀蟾蠩以脰鳴者也,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20327,踘,踘蹋也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20328,䜯,谷名在上艾,3208,驧,渠竹,kiok8,5.01屋,群,k,牙音,牙音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20329,𠤄,曲脊皃,3204,麴,驅匊,khiok4,5.01屋,溪,kh,牙音,牙音,次清,送氣,東開3促聲,iok,通,東,屋,入,開,3,獨細
