小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
2141,絳,古巷,kang3,4.04絳,見,k,牙音,牙音,全清,發聲,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2142,巷,胡絳,hang7,4.04絳,匣,h,喉音,喉音,全濁,送氣,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2143,戇,陟降,tang3,4.04絳,知,t,舌音,舌上音,全清,發聲,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2144,䡴,直絳,tang7,4.04絳,澄,t,舌音,舌上音,全濁,,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2145,𥈄,丑絳,thang3,4.04絳,徹,th,舌音,舌上音,次清,送氣,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2146,漴,士絳,cang7,4.04絳,崇,c,齒音,正齒近齒頭,全濁,,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2147,肨,匹絳,phang3,4.04絳,滂,ph,脣音,重脣音,次清,送氣,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2148,䎫,楚絳,chang3,4.04絳,初,ch,齒音,正齒近齒頭,次清,送氣,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2149,淙,色絳,sang3,4.04絳,生,s,齒音,正齒近齒頭,全清,送氣,江開2舒聲,ang,江,江,絳,去,開,2,獨洪
2150,寘,支義,ci3,4.05寘,章,c,齒音,正齒近舌上,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2151,避,毗義,pi7,4.05寘,並,p,脣音,重脣音,全濁,,支開3舒聲,i,止,支,寘,去,開,3,開細
2152,惴,之睡,cui3,4.05寘,章,c,齒音,正齒近舌上,全清,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2153,詈,力智,li7,4.05寘,來,l,半舌音,半舌,次濁,收聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2154,豉,是義,si7,4.05寘,禪,s,齒音,正齒近齒頭,全濁,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2155,積,子智,ci3,4.05寘,精,c,齒音,齒頭音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2156,賜,斯義,si3,4.05寘,心,s,齒音,齒頭音,全清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2157,爲,于僞,Øui7,4.05寘,云,Ø,喉音,喉音,次濁,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2158,䞈,詭僞,kui3,4.05寘,見,k,牙音,牙音,全清,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2159,帔,披義,phi3,4.05寘,滂,ph,脣音,重脣音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2160,賁,彼義,pi3,4.05寘,幫,p,脣音,重脣音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2161,髲,平義,pi7,4.05寘,並,p,脣音,重脣音,全濁,,支開3舒聲,i,止,支,寘,去,開,3,開細
2162,累,良僞,lui7,4.05寘,來,l,半舌音,半舌,次濁,收聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2163,寄,居義,ki3,4.05寘,見,k,牙音,牙音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2164,臂,卑義,pi3,4.05寘,幫,p,脣音,重脣音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2165,芰,奇寄,ki7,4.05寘,群,k,牙音,牙音,全濁,,支開3舒聲,i,止,支,寘,去,開,3,開細
2166,刺,七賜,chi3,4.05寘,清,ch,齒音,齒頭音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2167,易,以豉,Øi7,4.05寘,以,Ø,喉音,喉音,次濁,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2168,議,宜寄,gi7,4.05寘,疑,g,牙音,牙音,次濁,收聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2169,譬,匹賜,phi3,4.05寘,滂,ph,脣音,重脣音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2170,漬,疾智,ci7,4.05寘,從,c,齒音,齒頭音,全濁,,支開3舒聲,i,止,支,寘,去,開,3,開細
2171,智,知義,ti3,4.05寘,知,t,舌音,舌上音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2172,倚,於義,Øi3,4.05寘,影,Ø,喉音,喉音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2173,縋,馳僞,tui7,4.05寘,澄,t,舌音,舌上音,全濁,,支合3舒聲,ui,止,支,寘,去,合,3,合細
2174,吹,尺僞,chui3,4.05寘,昌,ch,齒音,正齒近舌上,次清,送氣,支合3舒聲,ui,止,支,寘,去,合,3,合細
2175,戲,香義,hi3,4.05寘,曉,h,喉音,喉音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2176,企,去智,khi3,4.05寘,溪,kh,牙音,牙音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2177,縊,於賜,Øi3,4.05寘,影,Ø,喉音,喉音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2178,翅,施智,si3,4.05寘,書,s,齒音,正齒近舌上,全清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2179,屣,所寄,si3,4.05寘,生,s,齒音,正齒近齒頭,全清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2180,觖,窺瑞,khui3,4.05寘,溪,kh,牙音,牙音,次清,送氣,支合3舒聲,ui,止,支,寘,去,合,3,合細
2181,餧,於僞,Øui3,4.05寘,影,Ø,喉音,喉音,全清,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2182,僞,危睡,gui7,4.05寘,疑,g,牙音,牙音,次濁,收聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2183,毁,況僞,hui3,4.05寘,曉,h,喉音,喉音,次清,送氣,支合3舒聲,ui,止,支,寘,去,合,3,合細
2184,恚,於避,Øi3,4.05寘,影,Ø,喉音,喉音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2185,睡,是僞,sui7,4.05寘,禪,s,齒音,正齒近齒頭,全濁,送氣,支合3舒聲,ui,止,支,寘,去,合,3,合細
2186,馶,居企,ki3,4.05寘,見,k,牙音,牙音,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2187,䄲,而瑞,jui7,4.05寘,日,j,半齒音,半齒,次濁,收聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2188,卶,充豉,chi3,4.05寘,昌,ch,齒音,正齒近舌上,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2189,䅗,思累,sui3,4.05寘,心,s,齒音,齒頭音,全清,送氣,支合3舒聲,ui,止,支,紙,上,合,3,合細
2190,娷,竹恚,tui3,4.05寘,知,t,舌音,舌上音,全清,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2191,瓗,以睡,Øui7,4.05寘,以,Ø,喉音,喉音,次濁,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2192,諉,女恚,lui7,4.05寘,娘,l,舌音,舌上音,次濁,收聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2193,瞡,規恚,kui3,4.05寘,見,k,牙音,牙音,全清,發聲,支合3舒聲,ui,止,支,寘,去,合,3,合細
2194,𧙁,爭義,ci3,4.05寘,莊,c,齒音,正齒近齒頭,全清,發聲,支開3舒聲,i,止,支,寘,去,開,3,開細
2195,孈,呼恚,hui3,4.05寘,曉,h,喉音,喉音,次清,送氣,支合3舒聲,ui,止,支,寘,去,合,3,合細
2196,㞆,卿義,khi3,4.05寘,溪,kh,牙音,牙音,次清,送氣,支開3舒聲,i,止,支,寘,去,開,3,開細
2197,至,脂利,ci3,4.06至,章,c,齒音,正齒近舌上,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2198,位,于愧,Øui7,4.06至,云,Ø,喉音,喉音,次濁,發聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2199,郿,明祕,bi7,4.06至,明,b,脣音,重脣音,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2200,遂,徐醉,sui7,4.06至,邪,s,齒音,齒頭音,全濁,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2201,醉,將遂,cui3,4.06至,精,c,齒音,齒頭音,全清,發聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2202,邃,雖遂,sui3,4.06至,心,s,齒音,齒頭音,全清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2203,類,力遂,lui7,4.06至,來,l,半舌音,半舌,次濁,收聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2204,祕,兵媚,pi3,4.06至,幫,p,脣音,重脣音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2205,匱,求位,kui7,4.06至,群,k,牙音,牙音,全濁,,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2206,濞,匹備,phi3,4.06至,滂,ph,脣音,重脣音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2207,備,平祕,pi7,4.06至,並,p,脣音,重脣音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2208,媿,俱位,kui3,4.06至,見,k,牙音,牙音,全清,發聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2209,帥,所類,sui3,4.06至,生,s,齒音,正齒近齒頭,全清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2210,喟,丘愧,khui3,4.06至,溪,kh,牙音,牙音,次清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2211,豷,許位,hui3,4.06至,曉,h,喉音,喉音,次清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2212,嗜,常利,si7,4.06至,禪,s,齒音,正齒近齒頭,全濁,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2213,利,力至,li7,4.06至,來,l,半舌音,半舌,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2214,膩,女利,li7,4.06至,娘,l,舌音,舌上音,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2215,屁,匹寐,phi3,4.06至,滂,ph,脣音,重脣音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2216,劓,魚器,gi7,4.06至,疑,g,牙音,牙音,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2217,致,陟利,ti3,4.06至,知,t,舌音,舌上音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2218,棄,詰利,khi3,4.06至,溪,kh,牙音,牙音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2219,緻,直利,ti7,4.06至,澄,t,舌音,舌上音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2220,寐,彌二,bi7,4.06至,明,b,脣音,重脣音,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2221,杘,丑利,thi3,4.06至,徹,th,舌音,舌上音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2222,冀,几利,ki3,4.06至,見,k,牙音,牙音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2223,臮,其冀,ki7,4.06至,群,k,牙音,牙音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2224,悸,其季,ki7,4.06至,群,k,牙音,牙音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2225,翠,七醉,chui3,4.06至,清,ch,齒音,齒頭音,次清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2226,二,而至,ji7,4.06至,日,j,半齒音,半齒,次濁,收聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2227,恣,資四,ci3,4.06至,精,c,齒音,齒頭音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2228,次,七四,chi3,4.06至,清,ch,齒音,齒頭音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2229,懿,乙兾,Øi3,4.06至,影,Ø,喉音,喉音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2230,四,息利,si3,4.06至,心,s,齒音,齒頭音,全清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2231,器,去冀,khi3,4.06至,溪,kh,牙音,牙音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2232,季,居悸,ki3,4.06至,見,k,牙音,牙音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2233,鼻,毗至,pi7,4.06至,並,p,脣音,重脣音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2234,䁤,香季,hi3,4.06至,曉,h,喉音,喉音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2235,痹,必至,pi3,4.06至,幫,p,脣音,重脣音,全清,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2236,萃,秦醉,cui7,4.06至,從,c,齒音,齒頭音,全濁,,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2237,地,徒四,ti7,4.06至,定,t,舌音,舌頭音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2238,齂,虚器,hi3,4.06至,曉,h,喉音,喉音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2239,肄,羊至,Øi7,4.06至,以,Ø,喉音,喉音,次濁,發聲,脂開3舒聲,i,止,脂,至,去,開,3,開細
2240,示,神至,si7,4.06至,船,s,齒音,正齒近舌上,全濁,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2241,自,疾二,ci7,4.06至,從,c,齒音,齒頭音,全濁,,脂開3舒聲,i,止,脂,至,去,開,3,開細
2242,墜,直類,tui7,4.06至,澄,t,舌音,舌上音,全濁,,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2243,出,尺類,chui3,4.06至,昌,ch,齒音,正齒近舌上,次清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2244,遺,以醉,Øui7,4.06至,以,Ø,喉音,喉音,次濁,發聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2245,侐,火季,hi3,4.06至,曉,h,喉音,喉音,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2246,轛,追萃,tui3,4.06至,知,t,舌音,舌上音,全清,發聲,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2247,痓,充自,chi3,4.06至,昌,ch,齒音,正齒近舌上,次清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2248,屍,矢利,si3,4.06至,書,s,齒音,正齒近舌上,全清,送氣,脂開3舒聲,i,止,脂,至,去,開,3,開細
2249,㿷,楚愧,chui3,4.06至,初,ch,齒音,正齒近齒頭,次清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2250,㽷,釋類,sui3,4.06至,書,s,齒音,正齒近舌上,全清,送氣,脂合3舒聲,ui,止,脂,至,去,合,3,合細
2251,志,職吏,ci3,4.07志,章,c,齒音,正齒近舌上,全清,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2252,值,直吏,ti7,4.07志,澄,t,舌音,舌上音,全濁,,之開3舒聲,i,止,之,志,去,開,3,開細
2253,寺,祥吏,si7,4.07志,邪,s,齒音,齒頭音,全濁,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2254,蛓,七吏,chi3,4.07志,清,ch,齒音,齒頭音,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2255,笥,相吏,si3,4.07志,心,s,齒音,齒頭音,全清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2256,試,式吏,si3,4.07志,書,s,齒音,正齒近舌上,全清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2257,胾,側吏,ci3,4.07志,莊,c,齒音,正齒近齒頭,全清,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2258,吏,力置,li7,4.07志,來,l,半舌音,半舌,次濁,收聲,之開3舒聲,i,止,之,志,去,開,3,開細
2259,字,疾置,ci7,4.07志,從,c,齒音,齒頭音,全濁,,之開3舒聲,i,止,之,志,去,開,3,開細
2260,眙,丑吏,thi3,4.07志,徹,th,舌音,舌上音,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2261,餌,仍吏,ji7,4.07志,日,j,半齒音,半齒,次濁,收聲,之開3舒聲,i,止,之,志,去,開,3,開細
2262,𩢲,踈吏,si3,4.07志,生,s,齒音,正齒近齒頭,全清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2263,廁,初吏,chi3,4.07志,初,ch,齒音,正齒近齒頭,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2264,異,羊吏,Øi7,4.07志,以,Ø,喉音,喉音,次濁,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2265,置,陟吏,ti3,4.07志,知,t,舌音,舌上音,全清,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2266,侍,時吏,si7,4.07志,禪,s,齒音,正齒近齒頭,全濁,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2267,事,鉏吏,ci7,4.07志,崇,c,齒音,正齒近齒頭,全濁,,之開3舒聲,i,止,之,志,去,開,3,開細
2268,忌,渠記,ki7,4.07志,群,k,牙音,牙音,全濁,,之開3舒聲,i,止,之,志,去,開,3,開細
2269,熾,昌志,chi3,4.07志,昌,ch,齒音,正齒近舌上,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2270,意,於記,Øi3,4.07志,影,Ø,喉音,喉音,全清,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2271,記,居吏,ki3,4.07志,見,k,牙音,牙音,全清,發聲,之開3舒聲,i,止,之,志,去,開,3,開細
2272,憙,許記,hi3,4.07志,曉,h,喉音,喉音,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2273,䰯,魚記,gi7,4.07志,疑,g,牙音,牙音,次濁,收聲,之開3舒聲,i,止,之,志,去,開,3,開細
2274,亟,去吏,khi3,4.07志,溪,kh,牙音,牙音,次清,送氣,之開3舒聲,i,止,之,志,去,開,3,開細
2275,未,無沸,bui7,4.08未,微,b,脣音,輕脣音,次濁,收聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2276,貴,居胃,kui3,4.08未,見,k,牙音,牙音,全清,發聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2277,胃,于貴,Øui7,4.08未,云,Ø,喉音,喉音,次濁,發聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2278,魏,魚貴,gui7,4.08未,疑,g,牙音,牙音,次濁,收聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2279,沸,方味,hui3,4.08未,非,h,脣音,輕脣音,全清,發聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2280,費,芳未,hui3,4.08未,敷,h,脣音,輕脣音,次清,送氣,微合3舒聲,ui,止,微,未,去,合,3,合細
2281,𥽂,丘畏,khui3,4.08未,溪,kh,牙音,牙音,次清,送氣,微合3舒聲,ui,止,微,未,去,合,3,合細
2282,尉,於胃,Øui3,4.08未,影,Ø,喉音,喉音,全清,發聲,微合3舒聲,ui,止,微,未,去,合,3,合細
2283,諱,許貴,hui3,4.08未,曉,h,喉音,喉音,次清,送氣,微合3舒聲,ui,止,微,未,去,合,3,合細
2284,𥝋,扶沸,hui7,4.08未,奉,h,脣音,輕脣音,全濁,,微合3舒聲,ui,止,微,未,去,合,3,合細
2285,旣,居豙,ki3,4.08未,見,k,牙音,牙音,全清,發聲,微開3舒聲,i,止,微,未,去,開,3,開細
2286,毅,魚旣,gi7,4.08未,疑,g,牙音,牙音,次濁,收聲,微開3舒聲,i,止,微,未,去,開,3,開細
2287,氣,去旣,khi3,4.08未,溪,kh,牙音,牙音,次清,送氣,微開3舒聲,i,止,微,未,去,開,3,開細
2288,欷,許旣,hi3,4.08未,曉,h,喉音,喉音,次清,送氣,微開3舒聲,i,止,微,未,去,開,3,開細
2289,䤒,其旣,ki7,4.08未,群,k,牙音,牙音,全濁,,微開3舒聲,i,止,微,未,去,開,3,開細
2290,衣,於旣,Øi3,4.08未,影,Ø,喉音,喉音,全清,發聲,微開3舒聲,i,止,微,未,去,開,3,開細
2291,御,牛倨,gi7,4.09御,疑,g,牙音,牙音,次濁,收聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2292,慮,良倨,li7,4.09御,來,l,半舌音,半舌,次濁,收聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2293,據,居御,ki3,4.09御,見,k,牙音,牙音,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2294,覰,七慮,chi3,4.09御,清,ch,齒音,齒頭音,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2295,㰦,丘倨,khi3,4.09御,溪,kh,牙音,牙音,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2296,署,常恕,si7,4.09御,禪,s,齒音,正齒近齒頭,全濁,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2297,恕,商署,si3,4.09御,書,s,齒音,正齒近舌上,全清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2298,著,陟慮,ti3,4.09御,知,t,舌音,舌上音,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2299,䬡,章恕,ci3,4.09御,章,c,齒音,正齒近舌上,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2300,䟽,所去,si3,4.09御,生,s,齒音,正齒近齒頭,全清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2301,飫,依倨,Øi3,4.09御,影,Ø,喉音,喉音,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2302,箸,遟倨,ti7,4.09御,澄,t,舌音,舌上音,全濁,,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2303,遽,其據,ki7,4.09御,群,k,牙音,牙音,全濁,,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2304,絮,息據,si3,4.09御,心,s,齒音,齒頭音,全清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2305,助,牀據,ci7,4.09御,俟,c,齒音,正齒近舌上,全濁,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2306,怚,將預,ci3,4.09御,精,c,齒音,齒頭音,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2307,詛,莊助,ci3,4.09御,莊,c,齒音,正齒近齒頭,全清,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2308,洳,人恕,ji7,4.09御,日,j,半齒音,半齒,次濁,收聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2309,豫,羊洳,Øi7,4.09御,以,Ø,喉音,喉音,次濁,發聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2310,噓,許御,hi3,4.09御,曉,h,喉音,喉音,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2311,女,尼據,li7,4.09御,娘,l,舌音,舌上音,次濁,收聲,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2312,楚,瘡據,chi3,4.09御,初,ch,齒音,正齒近齒頭,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2313,處,昌據,chi3,4.09御,昌,ch,齒音,正齒近舌上,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2314,絮,抽據,thi3,4.09御,徹,th,舌音,舌上音,次清,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2315,𡲁,徐預,si7,4.09御,邪,s,齒音,齒頭音,全濁,送氣,魚開3舒聲,i,遇,魚,御,去,開,3,獨細
2316,遇,牛具,gu7,4.10遇,疑,g,牙音,牙音,次濁,收聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2317,嫗,衣遇,Øu3,4.10遇,影,Ø,喉音,喉音,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2318,樹,常句,su7,4.10遇,禪,s,齒音,正齒近齒頭,全濁,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2319,住,持遇,tu7,4.10遇,澄,t,舌音,舌上音,全濁,,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2320,附,符遇,hu7,4.10遇,奉,h,脣音,輕脣音,全濁,,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2321,注,之戍,cu3,4.10遇,章,c,齒音,正齒近舌上,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2322,屨,九遇,ku3,4.10遇,見,k,牙音,牙音,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2323,昫,香句,hu3,4.10遇,曉,h,喉音,喉音,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2324,戍,傷遇,su3,4.10遇,書,s,齒音,正齒近舌上,全清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2325,裕,羊戍,Øu7,4.10遇,以,Ø,喉音,喉音,次濁,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2326,孺,而遇,ju7,4.10遇,日,j,半齒音,半齒,次濁,收聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2327,赴,芳遇,hu3,4.10遇,敷,h,脣音,輕脣音,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2328,務,亡遇,bu7,4.10遇,微,b,脣音,輕脣音,次濁,收聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2329,緅,子句,cu3,4.10遇,精,c,齒音,齒頭音,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2330,懼,其遇,ku7,4.10遇,群,k,牙音,牙音,全濁,,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2331,芋,王遇,Øu7,4.10遇,云,Ø,喉音,喉音,次濁,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2332,埾,才句,cu7,4.10遇,從,c,齒音,齒頭音,全濁,,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2333,捒,色句,su3,4.10遇,生,s,齒音,正齒近齒頭,全清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2334,付,方遇,hu3,4.10遇,非,h,脣音,輕脣音,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2335,娶,七句,chu3,4.10遇,清,ch,齒音,齒頭音,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2336,註,中句,tu3,4.10遇,知,t,舌音,舌上音,全清,發聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2337,驅,區遇,khu3,4.10遇,溪,kh,牙音,牙音,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2338,菆,芻注,chu3,4.10遇,初,ch,齒音,正齒近齒頭,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2339,䦌,丑注,thu3,4.10遇,徹,th,舌音,舌上音,次清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2340,尠,思句,su3,4.10遇,心,s,齒音,齒頭音,全清,送氣,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2341,屢,良遇,lu7,4.10遇,來,l,半舌音,半舌,次濁,收聲,虞開3舒聲,u,遇,虞,遇,去,開,3,獨細
2342,暮,莫故,boo7,4.11暮,明,b,脣音,重脣音,次濁,收聲,模開1舒聲,oo,遇,模,暮,去,開,1,獨洪
2343,渡,徒故,too7,4.11暮,定,t,舌音,舌頭音,全濁,,模開1舒聲,oo,遇,模,暮,去,開,1,獨洪
2344,路,洛故,loo7,4.11暮,來,l,半舌音,半舌,次濁,收聲,模開1舒聲,oo,遇,模,暮,去,開,1,獨洪
