識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
252,35,43,4,43-4,226,5.19鐸,宕,唐,鐸,入,開,1,唐開1促聲,落各,開洪,ok,
253,34,43,1,43-1,43,2.11唐,宕,唐,唐,平,開,1,唐開1舒聲,光黃旁,合洪,ong,
254,34,43,2,43-2,104,3.37蕩,宕,唐,蕩,上,開,1,唐開1舒聲,廣晃,合洪,ong,
255,34,43,3,43-3,165,4.42宕,宕,唐,宕,去,開,1,唐開1舒聲,曠謗,合洪,ong,
256,35,43,4,43-4,226,5.19鐸,宕,唐,鐸,入,開,1,唐開1促聲,穫郭博,合洪,ok,
257,45,44,1,44-1,44,2.12庚,梗,庚,庚,平,開,2,庚開2舒聲,行庚盲,開洪,ing,
258,45,44,2,44-2,105,3.38梗,梗,庚,梗,上,開,2,庚開2舒聲,杏梗冷打猛丙,開洪,ing,
259,45,44,3,44-3,166,4.43映,梗,庚,映,去,開,2,庚開2舒聲,更孟,開洪,ing,
260,46,44,4,44-4,227,5.20陌,梗,庚,陌,入,開,2,庚開2促聲,格陌伯白,開洪,ik,
261,36,44,1,44-1,44,2.12庚,梗,庚,庚,平,合,2,庚合2舒聲,觥橫,合洪,ong,
262,36,44,2,44-2,105,3.38梗,梗,庚,梗,上,合,2,庚合2舒聲,礦,合洪,ong,
263,36,44,3,44-3,166,4.43映,梗,庚,映,去,合,2,庚合2舒聲,蝗,合洪,ong,
264,37,44,4,44-4,227,5.20陌,梗,庚,陌,入,合,2,庚合2促聲,虢,合洪,ok,
265,47,44,1,44-1,44,2.12庚,梗,庚,庚,平,開,3,庚開3舒聲,驚卿京,開細,ing,
266,47,44,2,44-2,105,3.38梗,梗,庚,梗,上,開,3,庚開3舒聲,景影,開細,ing,
267,47,44,3,44-3,166,4.43映,梗,庚,映,去,開,3,庚開3舒聲,慶敬,開細,ing,
268,48,44,4,44-4,227,5.20陌,梗,庚,陌,入,開,3,庚開3促聲,戟刻郤逆劇擭迹,開細,ik,
269,49,44,1,44-1,44,2.12庚,梗,庚,庚,平,合,3,庚合3舒聲,榮兵明,合細,ing,
270,49,44,2,44-2,105,3.38梗,梗,庚,梗,上,合,3,庚合3舒聲,永憬䁝,合細,ing,
271,49,44,3,44-3,166,4.43映,梗,庚,映,去,合,3,庚合3舒聲,命病,合細,ing,
272,50,44,4,44-4,227,5.20陌,梗,庚,陌,入,合,3,庚合3促聲,,合細,ik,
273,51,45,1,45-1,45,2.13耕,梗,耕,耕,平,開,2,耕開2舒聲,莖耕,開洪,ing,
274,51,45,2,45-2,106,3.39耿,梗,耕,耿,上,開,2,耕開2舒聲,幸耿,開洪,ing,
275,51,45,3,45-3,167,4.44諍,梗,耕,諍,去,開,2,耕開2舒聲,諍爭迸,開洪,ing,
276,52,45,4,45-4,228,5.21麥,梗,耕,麥,入,開,2,耕開2促聲,核革責摘厄戹,開洪,ik,
277,38,45,1,45-1,45,2.13耕,梗,耕,耕,平,合,2,耕合2舒聲,宏轟萌,合洪,ong,
278,38,45,2,45-2,106,3.39耿,梗,耕,耿,上,合,2,耕合2舒聲,,合洪,ong,
279,38,45,3,45-3,167,4.44諍,梗,耕,諍,去,合,2,耕合2舒聲,,合洪,ong,
280,39,45,4,45-4,228,5.21麥,梗,耕,麥,入,合,2,耕合2促聲,獲摑麥,合洪,ok,
281,53,46,1,46-1,46,2.14清,梗,清,清,平,開,3,清開3舒聲,情盈貞成征井并,開細,ing,
282,53,46,2,46-2,107,3.40靜,梗,清,靜,上,開,3,清開3舒聲,靜郢井整,開細,ing,
283,53,46,3,46-3,168,4.45勁,梗,清,勁,去,開,3,清開3舒聲,政姓鄭正盛令,開細,ing,
