識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
256,𤶕,他,君,上去,thun3,舒聲,th,un,3,thun3,君上去聲他,君三他,
257,褪,他,君,上去,thun3,舒聲,th,un,3,thun3,君上去聲他,君三他,
258,飩,他,君,上去,thun3,舒聲,th,un,3,thun3,君上去聲他,君三他,
259,𪑒,他,君,上去,thun3,舒聲,th,un,3,thun3,君上去聲他,君三他,
260,俊,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
261,儁,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,0.01
262,雋,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,0.01
263,峻,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
264,𡼕,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
265,懏,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
266,狻,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
267,竣,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
268,浚,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
269,逡,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
270,濬,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
271,畯,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
272,餕,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
273,駿,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
274,鱒,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
275,睃,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
276,圳,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
277,鋑,曾,君,上去,tsun3,舒聲,z,un,3,zun3,君上去聲曾,君三曾,
278,舜,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
279,𠊫,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
280,蕣,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
281,巽,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
282,遜,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
283,孫,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,0.01
284,瞚,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
285,橓,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
286,瞬,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
287,𢁅,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,0.01
288,潠,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
289,噀,時,君,上去,sun3,舒聲,s,un,3,sun3,君上去聲時,君三時,
290,慍,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
291,蘊,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
292,搵,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
293,縕,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
294,醞,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
295,韞,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
296,溫,英,君,上去,un3,舒聲,q,un,3,qun3,君上去聲英,君三英,
297,寸,出,君,上去,tshun3,舒聲,c,un,3,cun3,君上去聲出,君三出,
298,訓,喜,君,上去,hun3,舒聲,h,un,3,hun3,君上去聲喜,君三喜,
299,僨,喜,君,上去,hun3,舒聲,h,un,3,hun3,君上去聲喜,君三喜,
300,𦘶,喜,君,上去,hun3,舒聲,h,un,3,hun3,君上去聲喜,君三喜,
301,馴,喜,君,上去,hun3,舒聲,h,un,3,hun3,君上去聲喜,君三喜,
302,𥂙,喜,君,上去,hun3,舒聲,h,un,3,hun3,君上去聲喜,君三喜,0.01
