識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,上字表識別號,聲母,聲母拼音碼,發音部位,清濁,發送收,下字表識別號,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註
1658,丑善,thian2,搌,3.28獮,40,搌𨩪𣃘蕆𧈪㢟䩶,10,10,徹,th,舌上音,次清,送氣,190,獮開3,ian,上,2,,,囅,
1659,披免,phian2,鴘,3.28獮,41,鴘,1,14,滂,ph,重脣音,次清,送氣,190,獮開3,ian,上,2,,,,
1660,式善,sian2,㒄,3.28獮,42,㒄㜣䁴,3,33,審,s,正齒近舌上,全清,送氣,190,獮開3,ian,上,2,,,,
1661,於蹇,Øian2,㫃,3.28獮,43,㫃䟍嫣,3,35,影,Ø,喉音,全清,發聲,190,獮開3,ian,上,2,,,,
1662,除善,tian2,邅,3.28獮,44,邅,1,11,澄,t,舌上音,全濁,,190,獮開3,ian,上,2,,,,
1663,士免,cian2,棧,3.28獮,45,棧,1,28,床,c,正齒近齒頭,全濁,,190,獮開3,ian,上,2,,,,
1664,先鳥,siau2,篠,3.29篠,1,篠筱𩵌𧩮謏䃤㩋,9,24,心,s,齒頭音,全清,送氣,198,篠開4,iau,上,2,缺⿰訁叜,,,
1665,古了,kiau2,皎,3.29篠,2,皎璬𢅎䥵㿟皦恔繳𨶪晈䘨儌,14,1,見,k,牙音,全清,發聲,198,篠開4,iau,上,2,,,,
1666,都了,tiau2,鳥,3.29篠,3,鳥𢁕㣿蔦釕扚𧜣䄪𠄏,12,5,端,t,舌頭音,全清,發聲,198,篠開4,iau,上,2,,,鵃䄪窵隝佻䲽伄[屌],
1667,盧鳥,liau2,了,3.29篠,4,了蓼瞭镽鄝繚憭䑠爒𢄺𥗀撩𤁸𧘈,18,40,來,l,半舌,次濁,收聲,198,篠開4,iau,上,2,,,,
1668,土了,thiau2,朓,3.29篠,5,朓窱䠷,3,6,透,th,舌頭音,次清,送氣,198,篠開4,iau,上,2,,,(挑),
1669,馨皛,hiau2,䥵,3.29篠,6,䥵曉皢膮,4,36,曉,h,喉音,次清,送氣,198,篠開4,iau,上,2,,,,
1670,烏皎,Øiau2,杳,3.29篠,7,杳窅窈偠騕𩡻𨱧葽㫏鴢婹㫐䆞𡧮苭,18,35,影,Ø,喉音,全清,發聲,198,篠開4,iau,上,2,,,,
1671,奴鳥,niau2,嬲,3.29篠,8,嬲嫋𨲂㒟褭嬈㜵䃵𢴶,11,8,泥,n,舌頭音,次濁,收聲,198,篠開4,iau,上,2,,,,
1672,胡了,hiau2,皛,3.29篠,9,皛㵿芍𦯪𠄔,7,37,匣,h,喉音,全濁,送氣,198,篠開4,iau,上,2,,,,
1673,徒了,tiau2,窕,3.29篠,10,窕𤕷𤱩誂掉嬥挑䂽,10,7,定,t,舌頭音,全濁,,198,篠開4,iau,上,2,,,,
1674,苦皎,khiau2,磽,3.29篠,11,磽䂪,2,2,溪,kh,牙音,次清,送氣,198,篠開4,iau,上,2,,,,
1675,子了,ciau2,湫,3.29篠,12,湫劋㭂㡑𧂈,6,21,精,c,齒頭音,全清,發聲,198,篠開4,iau,上,2,,,,
1676,私兆,siau2,小,3.30小,1,小𩵖䒕,4,24,心,s,齒頭音,全清,送氣,202,小開3,iau,上,2,,,,
1677,治小,tiau2,肇,3.30小,2,肇肁兆趙旐狣䍮鮡駣垗𠧞,12,11,澄,t,舌上音,全濁,,202,小開3,iau,上,2,,,,
1678,之少,ciau2,沼,3.30小,3,沼菬䈃,3,30,照,c,正齒近舌上,全清,發聲,202,小開3,iau,上,2,,,,
1679,於兆,Øiau2,夭,3.30小,4,夭殀芺仸,4,35,影,Ø,喉音,全清,發聲,202,小開3,iau,上,2,,,,
1680,丑小,thiau2,巐,3.30小,5,巐,1,10,徹,th,舌上音,次清,送氣,202,小開3,iau,上,2,,,,
1681,書沼,siau2,少,3.30小,6,少䒚𨙹,4,33,審,s,正齒近舌上,全清,送氣,202,小開3,iau,上,2,,,,
1682,而沼,jiau2,擾,3.30小,7,擾𢹎繞遶嬈𤛾𧳨,10,41,日,j,半齒,次濁,收聲,202,小開3,iau,上,2,,,,
1683,符少,hiau2,摽,3.30小,8,摽𢹰鰾慓顠𩮳膘𦭼,11,19,奉,h,輕脣音,全濁,,202,小開3,iau,上,2,,,,
1684,尺沼,chiau2,𪍑,3.30小,9,𪍑麨弨楢眧,6,31,穿,ch,正齒近舌上,次清,送氣,202,小開3,iau,上,2,,,,
1685,敷沼,hiau2,縹,3.30小,10,縹醥犥顠皫篻瞟膘,8,18,敷,h,輕脣音,次清,送氣,202,小開3,iau,上,2,,,,
1686,亡沼,biau2,眇,3.30小,11,眇渺訬𦳥淼杪秒藐吵篎,11,20,微,b,輕脣音,次濁,收聲,202,小開3,iau,上,2,,,[緲],
1687,市沼,siau2,紹,3.30小,12,紹綤佋袑䙼,5,34,禪,s,正齒近舌上,全濁,,202,小開3,iau,上,2,,,,
1688,居夭,kiau2,矯,3.30小,13,矯鱎䚩敽撟嬌𥃧蟜譑𨝰孂蹻,14,1,見,k,牙音,全清,發聲,202,小開3,iau,上,2,,,,
1689,陂嬌,piau2,表,3.30小,14,表𧘝𧞧䔸,6,13,幫,p,重脣音,全清,發聲,201,宵開3,iau,上,2,,,裱婊,
1690,方小,hiau2,褾,3.30小,15,褾𧢄標㟽,5,17,非,h,輕脣音,全清,發聲,202,小開3,iau,上,2,,,,
1691,平表,piau2,藨,3.30小,16,藨𦳤殍莩𠬪㰶㹾𧴎,11,15,並,p,重脣音,全濁,,202,小開3,iau,上,2,,,,
1692,以沼,Øiau2,鷕,3.30小,17,鷕溔舀𦥨抭𩨴䁘,9,39,喻,Ø,喉音,次濁,發聲,202,小開3,iau,上,2,,,,
1693,親小,chiau2,悄,3.30小,18,悄愀釥,3,22,清,ch,齒頭音,次清,送氣,202,小開3,iau,上,2,,,,
1694,子小,ciau2,𠞰,3.30小,19,𠞰𠟯勦漅𨙹𤃭膘𢄺,13,21,精,c,齒頭音,全清,發聲,202,小開3,iau,上,2,,,剿,
1695,巨夭,khiau2,𨲭,3.30小,20,𨲭,2,3,群,kh,牙音,全濁,,202,小開3,iau,上,2,,,,
1696,力小,liau2,繚,3.30小,21,繚燎𢻢璙憭爒僚䩍嫽,10,40,來,l,半舌,次濁,收聲,202,小開3,iau,上,2,,,,
1697,滂表,phiau2,麃,3.30小,22,麃,1,14,滂,ph,重脣音,次清,送氣,202,小開3,iau,上,2,,,,
1698,於小,Øiau2,闄,3.30小,23,闄,1,35,影,Ø,喉音,全清,發聲,202,小開3,iau,上,2,,,,
1699,苦絞,khau2,巧,3.31巧,1,巧䲾,2,2,溪,kh,牙音,次清,送氣,206,巧開2,au,上,2,,,,
1700,下巧,hau2,澩,3.31巧,2,澩㺒䕧佼䀊䉰,6,37,匣,h,喉音,全濁,送氣,206,巧開2,au,上,2,,,,
1701,博巧,pau2,飽,3.31巧,3,飽𩝰𩛁,5,13,幫,p,重脣音,全清,發聲,206,巧開2,au,上,2,,,,
1702,奴巧,nau2,㺒,3.31巧,4,㺒撓獿,3,8,泥,n,舌頭音,次濁,收聲,206,巧開2,au,上,2,,,,
1703,莫飽,mau2,卯,3.31巧,5,卯戼緢泖媌昴茆,7,16,明,m,重脣音,次濁,收聲,206,巧開2,au,上,2,,,,
1704,古巧,kau2,絞,3.31巧,6,絞狡佼攪䕧筊𢯴鉸𥂔姣烄𢽻䀊䉰㽱,18,1,見,k,牙音,全清,發聲,206,巧開2,au,上,2,,,搞,
1705,側絞,cau2,爪,3.31巧,7,爪㕚䝖瑵笊𢁬抓𦬔,10,26,莊,c,正齒近齒頭,全清,發聲,206,巧開2,au,上,2,,,找,
1706,於絞,Øau2,拗,3.31巧,8,拗鴢𢂊𥃯狕,7,35,影,Ø,喉音,全清,發聲,206,巧開2,au,上,2,,,,
1707,薄巧,pau2,鮑,3.31巧,9,鮑骲𡂟鞄,5,15,並,p,重脣音,全濁,,206,巧開2,au,上,2,,,,
1708,五巧,gau2,齩,3.31巧,10,齩,1,4,疑,g,牙音,次濁,收聲,206,巧開2,au,上,2,,,(咬）,
1709,士絞,cau2,䰫,3.31巧,11,䰫㑿,2,28,床,c,正齒近齒頭,全濁,,206,巧開2,au,上,2,,,,
1710,初爪,chau2,煼,3.31巧,12,煼𩱦𤌉炒謅𩱈吵,10,27,初,ch,正齒近齒頭,次清,送氣,206,巧開2,au,上,2,,,抄𩈎㥮仯,
1711,張絞,tau2,䝤,3.31巧,13,䝤獠,2,9,知,t,舌上音,全清,發聲,206,巧開2,au,上,2,,,,
1712,山巧,sau2,𢾐,3.31巧,14,𢾐,2,29,疏,s,正齒近齒頭,全清,發聲,206,巧開2,au,上,2,16->1,,稍䔠𨈘潲𦓴搜梢𡡏𧣪𥵦𦿃髾,
1713,胡老,ho2,晧,3.32晧,1,晧昊昦暭鎬浩顥灝鰝夰薃鄗𨛴𧇼𥢑滈,19,37,匣,h,喉音,全濁,送氣,210,晧開1,o,上,2,𥢑之咎原位右下角,,(皓),
1714,薄浩,po2,抱,3.32晧,2,抱,1,15,並,p,重脣音,全濁,,210,晧開1,o,上,2,,,,
1715,盧晧,lo2,老,3.32晧,3,老䝤獠轑橑潦䕩栳𣠼𩔇恅𡂕䵏澇,17,40,來,l,半舌,次濁,收聲,210,晧開1,o,上,2,,,,
1716,他浩,tho2,討,3.32晧,4,討𡘷槄,4,6,透,th,舌頭音,次清,送氣,210,晧開1,o,上,2,,,,
1717,徒晧,to2,道,3.32晧,5,道衟𡬲稻駣𣜦𨱵,10,7,定,t,舌頭音,全濁,,210,晧開1,o,上,2,,,,
1718,奴晧,no2,堖,3.32晧,6,堖腦𠜶惱碯𨱵㺁𧳦㛴,12,8,泥,n,舌頭音,次濁,收聲,210,晧開1,o,上,2,,,(匘)瑙,
1719,蘇老,so2,㛮,3.32晧,7,㛮嫂㛐燥埽掃𦺋,8,24,心,s,齒頭音,全清,送氣,210,晧開1,o,上,2,刪埂,,(䕅)糔,
1720,都晧,to2,倒,3.32晧,8,倒擣搗㠀禂䮻檮禱㿒壔懤,11,5,端,t,舌頭音,全清,發聲,210,晧開1,o,上,2,,,(島),
1721,采老,cho2,草,3.32晧,9,草艸懆慅騲𠹊愺,8,22,清,ch,齒頭音,次清,送氣,210,晧開1,o,上,2,,,,
1722,子晧,co2,早,3.32晧,10,早澡藻薻𧎮蚤䲃璪璅棗繰繅,13,21,精,c,齒頭音,全清,發聲,210,晧開1,o,上,2,,,,
1723,昨早,co2,皁,3.32晧,11,皁𦯑造艁,5,23,從,c,齒頭音,全濁,,210,晧開1,o,上,2,,,(皂),
1724,古老,ko2,暠,3.32晧,12,暠𣓌杲稾藳夰縞槀㚖菒𥓖,13,1,見,k,牙音,全清,發聲,210,晧開1,o,上,2,,,(稿),
1725,呼晧,ho2,好,3.32晧,13,好𡚽,3,36,曉,h,喉音,次清,送氣,210,晧開1,o,上,2,,,,
1726,武道,bo2,蓩,3.32晧,14,蓩䓮媢冃,4,20,微,b,輕脣音,次濁,收聲,210,晧開1,o,上,2,,,,
1727,博抱,po2,寶,3.32晧,15,寶珤保𡥀堢堡褓緥鴇葆駂䎂宲賲𠤏,17,13,幫,p,重脣音,全清,發聲,210,晧開1,o,上,2,,,,
1728,烏晧,Øo2,襖,3.32晧,16,襖镺懊䐿芺䴠媪燠夭㤇郩蝹䯠𪁾,15,35,影,Ø,喉音,全清,發聲,210,晧開1,o,上,2,,,媼,
1729,苦浩,kho2,考,3.32晧,17,考攷栲槁祰洘燺丂䯪薧,10,2,溪,kh,牙音,次清,送氣,210,晧開1,o,上,2,,,(烤)拷𥬯撟𣩅㼥,
1730,五老,go2,𦽀,3.32晧,18,𦽀𩑤,4,4,疑,g,牙音,次濁,收聲,210,晧開1,o,上,2,,,,
1731,古我,ko2,哿,3.33哿,1,哿舸笴𥰮,5,1,見,k,牙音,全清,發聲,214,哿開1,o,上,2,,,,
1732,千可,cho2,瑳,3.33哿,2,瑳䰈硰,3,22,清,ch,齒頭音,次清,送氣,214,哿開1,o,上,2,,,,
1733,丁可,to2,嚲,3.33哿,3,嚲䯬哆癉䫂,5,5,端,t,舌頭音,全清,發聲,214,哿開1,o,上,2,4？,,奲,
1734,蘇可,so2,縒,3.33哿,4,縒娑褨,3,24,心,s,齒頭音,全清,送氣,214,哿開1,o,上,2,,,,
1735,徒可,to2,爹,3.33哿,5,爹柁舵陊袉拕沱𣵻詑,10,7,定,t,舌頭音,全濁,,214,哿開1,o,上,2,,,,
1736,五可,go2,我,3.33哿,6,我騀𩒰㧴硪,6,4,疑,g,牙音,次濁,收聲,214,哿開1,o,上,2,,,,
1737,吐可,tho2,袉,3.33哿,7,袉,1,6,透,th,舌頭音,次清,送氣,214,哿開1,o,上,2,,,,
1738,來可,lo2,㰁,3.33哿,8,㰁𩝢欏砢㦬曪𣂞剆𠻡,12,40,來,l,半舌,次濁,收聲,214,哿開1,o,上,2,,,,
1739,奴可,no2,橠,3.33哿,9,橠娜㡅𢄴那袲,7,8,泥,n,舌頭音,次濁,收聲,214,哿開1,o,上,2,,,哪,
1740,胡可,ho2,荷,3.33哿,10,荷何,2,37,匣,h,喉音,全濁,送氣,214,哿開1,o,上,2,,,,
1741,虚我,ho2,㰤,3.33哿,11,㰤㗿㪃㪋𩑸,6,36,曉,h,喉音,次清,送氣,214,哿開1,o,上,2,,,,
1742,枯我,kho2,可,3.33哿,12,可岢軻坷,4,2,溪,kh,牙音,次清,送氣,214,哿開1,o,上,2,,,,
1743,烏可,Øo2,𨵌,3.33哿,13,𨵌椏𣘨妸娿㫊𧙃,10,35,影,Ø,喉音,全清,發聲,214,哿開1,o,上,2,,,,
1744,臧可,co2,左,3.33哿,14,左㝾𠂇,4,21,精,c,齒頭音,全清,發聲,214,哿開1,o,上,2,,,,
1745,古火,ko2,果,3.34果,1,果菓猓輠鐹划裹蜾惈䴹粿,11,1,見,k,牙音,全清,發聲,218,果合1,o,上,2,,,錁餜,
1746,丁果,to2,埵,3.34果,2,埵鬌挆𦀉朵朶綞揣鍺𨹄䤪𥠄㪜𩊜褍,19,5,端,t,舌頭音,全清,發聲,218,果合1,o,上,2,,,𦀉(𨦃)(𨹃)[躲],
1747,蘇果,so2,鎖,3.34果,3,鎖瑣溑葰䈗䵀𩹳𥔭䣔惢𢱡𧴪,16,24,心,s,齒頭音,全清,送氣,218,果合1,o,上,2,*巛作小,,,
1748,徒果,to2,墮,3.34果,4,墮垛𤬾䅜𥬲𥳔𩊜䤻憜惰嫷鬌䲊嶞,18,7,定,t,舌頭音,全濁,,218,果合1,o,上,2,,,(𥬸),
1749,他果,tho2,妥,3.34果,5,妥媠隋䲊㟎墮橢𨼰鵎,10,6,透,th,舌頭音,次清,送氣,218,果合1,o,上,2,*土或在下,,,
1750,亡果,bo2,麼,3.34果,6,麼𣋟懡,4,20,微,b,輕脣音,次濁,收聲,218,果合1,o,上,2,,,[嬤],
1751,徂果,co2,坐,3.34果,7,坐𡋲,3,23,從,c,齒頭音,全濁,,218,果合1,o,上,2,,,,
1752,五果,go2,㛂,3.34果,8,㛂𠂬,3,4,疑,g,牙音,次濁,收聲,218,果合1,o,上,2,,,,
1753,郎果,lo2,裸,3.34果,9,裸躶𧝹臝卵瘰𤼠蓏蠃,11,40,來,l,半舌,次濁,收聲,218,果合1,o,上,2,,,(倮)𦝠,
1754,烏果,Øo2,婐,3.34果,10,婐倭𥟿,4,35,影,Ø,喉音,全清,發聲,218,果合1,o,上,2,,,,
1755,奴果,no2,㛂,3.34果,11,㛂𢫷,3,8,泥,n,舌頭音,次濁,收聲,218,果合1,o,上,2,,,,
1756,布火,po2,跛,3.34果,12,跛簸駊㝿,4,13,幫,p,重脣音,全清,發聲,218,果合1,o,上,2,,,,
1757,普火,pho2,叵,3.34果,13,叵駊頗𡽠,5,14,滂,ph,重脣音,次清,送氣,218,果合1,o,上,2,,,,
1758,胡果,ho2,禍,3.34果,14,禍𥚁夥𡖿𣄸輠𨘌,11,37,匣,h,喉音,全濁,送氣,218,果合1,o,上,2,,,(𥙯),
1759,呼果,ho2,火,3.34果,15,火邩,2,36,曉,h,喉音,次清,送氣,218,果合1,o,上,2,,,,
1760,苦果,kho2,顆,3.34果,16,顆堁敤,3,2,溪,kh,牙音,次清,送氣,218,果合1,o,上,2,,,棵,
1761,捕可,po2,爸,3.34果,17,爸,1,15,並,p,重脣音,全濁,,214,哿開1,o,上,2,,,,
1762,倉果,cho2,脞,3.34果,18,脞䂳,2,22,清,ch,齒頭音,次清,送氣,218,果合1,o,上,2,,,,
1763,作可,co2,硰,3.34果,19,硰,1,21,精,c,齒頭音,全清,發聲,214,哿開1,o,上,2,,,,
1764,莫下,ma2,馬,3.35馬,1,馬碼䣕罵𥧓鷌鰢,8,16,明,m,重脣音,次濁,收聲,230,馬開2,a,上,2,,,(瑪)(駡)[螞],
1765,章也,cia2,者,3.35馬,2,者赭堵,3,30,照,c,正齒近舌上,全清,發聲,238,馬開3,ia,上,2,,,,
1766,羊者,Øia2,野,3.35馬,3,野壄也冶虵,5,39,喻,Ø,喉音,次濁,發聲,238,馬開3,ia,上,2,,,,
1767,五下,ga2,雅,3.35馬,4,雅疋庌厊㿿,5,4,疑,g,牙音,次濁,收聲,230,馬開2,a,上,2,,,,
1768,古疋,ka2,檟,3.35馬,5,檟榎嘏假叚賈斝瘕椵婽,10,1,見,k,牙音,全清,發聲,230,馬開2,a,上,2,,,,
1769,砂下,sa2,灑,3.35馬,6,灑,1,29,疏,s,正齒近齒頭,全清,發聲,230,馬開2,a,上,2,,,,
1770,烏下,Øa2,啞,3.35馬,7,啞瘂𤺘,4,35,影,Ø,喉音,全清,發聲,230,馬開2,a,上,2,,,,
1771,徐野,sia2,灺,3.35馬,8,灺抯䵦,3,25,邪,s,齒頭音,全濁,送氣,238,馬開3,ia,上,2,,,,
1772,胡雅,ha2,下,3.35馬,9,下丅夏廈,4,37,匣,h,喉音,全濁,送氣,230,馬開2,a,上,2,,,,
1773,悉姐,sia2,寫,3.35馬,10,寫𣞐瀉𣬕,6,24,心,s,齒頭音,全清,送氣,238,馬開3,ia,上,2,,,,
1774,𩛠瓦,cua2,𡎬,3.35馬,11,𡎬,2,21,精,c,齒頭音,全清,發聲,234,馬合2,ua,上,2,精紐三等合口馬韻特例，似入果韻爲妥。,,,
1775,彌也,mia2,乜,3.35馬,12,乜,1,16,明,m,重脣音,次濁,收聲,238,馬開3,ia,上,2,,,,
1776,七也,chia2,且,3.35馬,13,且,1,22,清,ch,齒頭音,次清,送氣,238,馬開3,ia,上,2,,,,
1777,許下,ha2,㗿,3.35馬,14,㗿閜襾,3,36,曉,h,喉音,次清,送氣,230,馬開2,a,上,2,,,,
1778,常者,sia2,社,3.35馬,15,社𥁹𣝒,5,34,禪,s,正齒近舌上,全濁,,238,馬開3,ia,上,2,,,,
1779,苦下,kha2,跒,3.35馬,16,跒,1,2,溪,kh,牙音,次清,送氣,230,馬開2,a,上,2,,,,
1780,傍下,pa2,跁,3.35馬,17,跁䇑笆,3,15,並,p,重脣音,全濁,,230,馬開2,a,上,2,,,,
1781,書冶,sia2,捨,3.35馬,18,捨舍騇䬷𩜉,6,33,審,s,正齒近舌上,全清,送氣,238,馬開3,ia,上,2,,,,
1782,兹野,cia2,姐,3.35馬,19,姐抯飷,3,21,精,c,齒頭音,全清,發聲,238,馬開3,ia,上,2,,,,
1783,愽下,pa2,把,3.35馬,20,把,1,13,幫,p,重脣音,全清,發聲,230,馬開2,a,上,2,,,,
1784,胡瓦,hua2,踝,3.35馬,21,踝稞𡱏𦖍黊蘳觟𩸄𢦚輠䴹,15,37,匣,h,喉音,全濁,送氣,234,馬合2,ua,上,2,,,,
1785,古瓦,kua2,寡,3.35馬,22,寡冎剮𣑍𠊰𠁥䈑𧤐,12,1,見,k,牙音,全清,發聲,234,馬合2,ua,上,2,,,𥦛𨀩,
1786,五寡,gua2,瓦,3.35馬,23,瓦邷,2,4,疑,g,牙音,次濁,收聲,234,馬合2,ua,上,2,,,,
1787,人者,jia2,若,3.35馬,24,若惹𠰒,4,41,日,j,半齒,次濁,收聲,238,馬開3,ia,上,2,,,(喏),
1788,側下,ca2,鮓,3.35馬,25,鮓厏謯𥰭痄,6,26,莊,c,正齒近齒頭,全清,發聲,230,馬開2,a,上,2,,,,
1789,都賈,ta2,觰,3.35馬,26,觰,1,5,端,t,舌頭音,全清,發聲,230,馬開2,a,上,2,,,,
1790,士下,ca2,槎,3.35馬,27,槎厏,2,28,床,c,正齒近齒頭,全濁,,230,馬開2,a,上,2,,,,
1791,昌者,chia2,奲,3.35馬,28,奲㨋䰩哆撦,5,31,穿,ch,正齒近舌上,次清,送氣,238,馬開3,ia,上,2,,,扯,
1792,竹下,ta2,䋾,3.35馬,29,䋾,1,9,知,t,舌上音,全清,發聲,230,馬開2,a,上,2,,,,
1793,奴下,na2,䋈,3.35馬,30,䋈,1,8,泥,n,舌頭音,次濁,收聲,230,馬開2,a,上,2,,,,
1794,苦瓦,khua2,髁,3.35馬,31,髁跨骻㡁銙𢄳𡕒,9,2,溪,kh,牙音,次清,送氣,234,馬合2,ua,上,2,,,,
1795,叉瓦,chua2,䂳,3.35馬,32,䂳,1,27,初,ch,正齒近齒頭,次清,送氣,234,馬合2,ua,上,2,,,,
1796,丑寡,thua2,䊬,3.35馬,33,䊬,1,10,徹,th,舌上音,次清,送氣,234,馬合2,ua,上,2,,右上原作P厂果，此準《康熙字典》,,
1797,沙瓦,sua2,葰,3.35馬,34,葰𧫝傻,4,29,疏,s,正齒近齒頭,全清,發聲,234,馬合2,ua,上,2,,,[耍],
1798,丑下,tha2,奼,3.35馬,35,奼,1,10,徹,th,舌上音,次清,送氣,230,馬開2,a,上,2,,,姹,
1799,盧下,la2,藞,3.35馬,36,藞,1,40,來,l,半舌,次濁,收聲,230,馬開2,a,上,2,,,,
1800,餘兩,Øiong2,養,3.36養,1,養痒癢瀁蛘勨𧓲,8,39,喻,Ø,喉音,次濁,發聲,242,養開3,iong,上,2,,,蝆,
1801,徐兩,siong2,像,3.36養,2,像象蟓橡襐勨鱌潒𨖶𦺨嶑,13,25,邪,s,齒頭音,全濁,送氣,242,養開3,iong,上,2,,,,
1802,即兩,ciong2,㢡,3.36養,3,㢡獎䉃槳㯍蔣,6,21,精,c,齒頭音,全清,發聲,242,養開3,iong,上,2,,,,
1803,良㢡,liong2,㒳,3.36養,4,㒳兩脼𣓈緉蜽魎㔝,9,40,來,l,半舌,次濁,收聲,242,養開3,iong,上,2,,,𠓜䓣倆裲掚,
1804,於兩,Øiong2,鞅,3.36養,5,鞅柍秧䬬詇岟駚炴𧵌怏紻,12,35,影,Ø,喉音,全清,發聲,242,養開3,iong,上,2,,,,
1805,其兩,khiong2,勥,3.36養,6,勥彊弜誩滰,5,3,群,kh,牙音,全濁,,242,養開3,iong,上,2,,,,
1806,魚兩,giong2,仰,3.36養,7,仰䒢卬,3,4,疑,g,牙音,次濁,收聲,242,養開3,iong,上,2,,,,
1807,初兩,chiong2,磢,3.36養,8,磢㼽𠞮搶漺愴,7,27,初,ch,正齒近齒頭,次清,送氣,242,養開3,iong,上,2,,,(闖=搶?),
1808,息兩,siong2,想,3.36養,9,想鯗,2,24,心,s,齒頭音,全清,送氣,242,養開3,iong,上,2,,,,
1809,諸兩,ciong2,掌,3.36養,10,掌仉𤓯,4,30,照,c,正齒近舌上,全清,發聲,242,養開3,iong,上,2,𤓯上原作𠃊,,,
1810,踈兩,siong2,𤕤,3.36養,11,𤕤爽𦄍鷞塽樉㼽漺䫪,11,29,疏,s,正齒近齒頭,全清,發聲,242,養開3,iong,上,2,,,,
1811,許兩,hiong2,響,3.36養,12,響饗蠁䖮亯亨嚮曏,8,36,曉,h,喉音,次清,送氣,242,養開3,iong,上,2,,,(享),
1812,昌兩,chiong2,敞,3.36養,13,敞𢠵氅𪅶廠䟫僘,9,31,穿,ch,正齒近舌上,次清,送氣,242,養開3,iong,上,2,,,,
1813,居兩,kiong2,繈,3.36養,14,繈鏹襁膙憼,5,1,見,k,牙音,全清,發聲,242,養開3,iong,上,2,,,繦,
1814,直兩,tiong2,丈,3.36養,15,丈杖仗㽴,4,11,澄,t,舌上音,全濁,,242,養開3,iong,上,2,,,,
1815,丑兩,thiong2,昶,3.36養,16,昶鋹,2,10,徹,th,舌上音,次清,送氣,242,養開3,iong,上,2,,,,
1816,居往,kong2,獷,3.36養,17,獷,1,1,見,k,牙音,全清,發聲,246,養合3,ong,上,2,,,,
1817,如兩,jiong2,壤,3.36養,18,壤䖆䑋穰蠰攘躟𥗝,9,41,日,j,半齒,次濁,收聲,242,養開3,iong,上,2,,,[嚷],
1818,書兩,siong2,賞,3.36養,19,賞𩞧𩞃饟曏,7,33,審,s,正齒近舌上,全清,送氣,242,養開3,iong,上,2,,,償,
1819,妃兩,hiong2,髣,3.36養,20,髣彷仿紡鶭䲱,6,18,敷,h,輕脣音,次清,送氣,242,養開3,iong,上,2,,,,
1820,文兩,biong2,网,3.36養,21,网網罔輞棢惘菵誷𡔞𦖉蛧魍,14,20,微,b,輕脣音,次濁,收聲,242,養開3,iong,上,2,,,,
1821,分网,hong2,昉,3.36養,22,昉倣放瓬,4,17,非,h,輕脣音,全清,發聲,246,養合3,ong,上,2,,,,
1822,紆往,Øong2,枉,3.36養,23,枉𢽃𣢫汪,6,35,影,Ø,喉音,全清,發聲,246,養合3,ong,上,2,,,,
1823,于兩,Øiong2,往,3.36養,24,往暀,2,38,為,Ø,喉音,次濁,發聲,242,養開3,iong,上,2,,,,
1824,許昉,hong2,怳,3.36養,25,怳𧧢,3,36,曉,h,喉音,次清,送氣,246,養合3,ong,上,2,,,(𧧮詤謊),
1825,七兩,chiong2,搶,3.36養,26,搶摤,2,22,清,ch,齒頭音,次清,送氣,242,養開3,iong,上,2,,,,
1826,知丈,tiong2,長,3.36養,27,長,1,9,知,t,舌上音,全清,發聲,242,養開3,iong,上,2,,,,
1827,時掌,siong2,上,3.36養,28,上丄,2,34,禪,s,正齒近舌上,全濁,,242,養開3,iong,上,2,,,,
1828,求往,khong2,俇,3.36養,29,俇,1,3,群,kh,牙音,全濁,,246,養合3,ong,上,2,,,,
1829,俱往,kong2,臩,3.36養,30,臩迋𠏤逛,5,1,見,k,牙音,全清,發聲,246,養合3,ong,上,2,,,,
1830,毗養,piong2,𩦠,3.36養,31,𩦠,2,15,並,p,重脣音,全濁,,242,養開3,iong,上,2,,,,
1831,初丈,chiong2,䫪,3.36養,32,䫪傸,2,27,初,ch,正齒近齒頭,次清,送氣,242,養開3,iong,上,2,,,,
1832,徒朗,tong2,蕩,3.37蕩,1,蕩崵婸𥯕潒𢠽愓璗盪䑗簜嵣,14,7,定,t,舌頭音,全濁,,250,蕩開1,ong,上,2,刪暘,,,
1833,蘇朗,song2,顙,3.37蕩,2,顙𣞙𣡆磉,6,24,心,s,齒頭音,全清,送氣,250,蕩開1,ong,上,2,,,(嗓)搡,
1834,古晃,kong2,廣,3.37蕩,3,廣鄺,2,1,見,k,牙音,全清,發聲,254,蕩開1,ong,上,2,,,,
1835,北朗,pong2,榜,3.37蕩,4,榜牓𣮧螃蒡䰃,7,13,幫,p,重脣音,全清,發聲,250,蕩開1,ong,上,2,,,,
1836,子朗,cong2,駔,3.37蕩,5,駔驡髒,3,21,精,c,齒頭音,全清,發聲,250,蕩開1,ong,上,2,,,,
1837,奴朗,nong2,曩,3.37蕩,6,曩灢,2,8,泥,n,舌頭音,次濁,收聲,250,蕩開1,ong,上,2,,,,
1838,胡朗,hong2,沆,3.37蕩,7,沆骯䟘𡕬蚢吭,7,37,匣,h,喉音,全濁,送氣,250,蕩開1,ong,上,2,,,,
